NumProc,SizePerProc,Run,ElapsedTimeSec,Speedup,Efficiency,ScalingEfficiency
1,24,1,21.78,1,1,1
1,24,2,21.82,.998,.998,.998
1,24,3,21.79,.999,.999,.999
8,24,1,47.97,.454,.056,.454
8,24,2,48.00,.453,.056,.453
8,24,3,48.13,.452,.056,.452
27,24,1,87.56,.248,.009,.248
27,24,2,87.51,.248,.009,.248
27,24,3,87.43,.249,.009,.249
1,30,1,50.99,1,1,1
1,30,2,50.59,1.007,1.007,1.007
1,30,3,50.72,1.005,1.005,1.005
8,30,1,116.93,.436,.054,.436
8,30,2,117.09,.435,.054,.435
8,30,3,116.85,.436,.054,.436
27,30,1,216.59,.235,.008,.235
27,30,2,215.23,.236,.008,.236
27,30,3,216.68,.235,.008,.235
